664,404
663,404
662,404
662,403
661,403
661,402
660,402
660,401
659,401
659,400
658,400
658,399
658,398
658,397
658,396
658,395
658,394
657,394
657,393
657,392
656,392
656,391
656,390
655,390
655,389
654,389
654,388
654,387
654,386
654,385
653,385
653,384
653,383
653,382
653,381
653,380
653,379
653,378
652,378
652,377
652,376
651,376
651,375
651,374
651,373
650,373
650,372
649,372
649,371
649,370
648,370
648,369
647,369
647,368
646,368
646,367
646,366
645,366
645,365
645,364
645,363
646,362
647,362
648,362
648,362
649,361
650,361
651,361
651,361
652,360
653,360
653,361
654,361
654,362
655,362
655,363
656,363
656,364
656,365
656,366
656,367
656,368
656,369
656,370
656,371
656,372
657,372
657,373
657,374
657,375
658,375
658,376
658,377
658,378
659,378
659,379
659,380
659,381
660,381
660,382
660,383
660,384
661,384
661,385
661,386
662,386
662,387
662,388
662,389
663,389
663,390
664,390
664,391
664,392
664,393
665,393
665,394
666,394
666,395
666,396
667,396
667,397
668,397
668,398
668,399
669,399
669,400
669,401
669,402
669,402
668,402
667,402
666,402
665,403
665,403
664,404
664,404
